Period;Currency;Rate
2014-12-20;SEK;9.4624
2014-12-22;MXN;17.8608
2015-01-05;MXN;17.695
2015-01-13;GBP;0.7767
2015-01-17;MXN;16.9787
2015-01-17;SEK;9.4085
2015-01-21;CAD;1.3999
2015-01-22;USD;1.1618
2015-01-23;SEK;9.3327
2015-01-26;CAD;1.4009
2015-02-03;CAD;1.4316
2015-02-07;SEK;9.4565
2015-02-15;SEK;9.5887
2015-02-16;MXN;16.9608
2015-02-19;GBP;0.7379
2015-02-21;SEK;9.5213
2015-03-02;GBP;0.7294
2015-03-03;CAD;1.3981
2015-03-08;USD;1.0963
2015-03-08;MXN;16.6451
2015-03-18;USD;1.0592
2015-03-18;AUD;1.3901
2015-03-23;MXN;16.3462
2015-03-24;AUD;1.3843
2015-03-26;SEK;9.325
2015-03-28;CAD;1.358
2015-03-31;USD;1.0759
2015-04-08;CAD;1.3487
2015-04-09;AUD;1.3951
2015-04-10;GBP;0.7244
2015-05-10;AUD;1.4181
2015-05-11;CAD;1.3497
2015-05-12;GBP;0.7164
2015-05-14;USD;1.1419
2015-05-17;AUD;1.4159
2015-05-18;USD;1.1389
2015-05-18;MXN;17.1188
2015-05-25;AUD;1.4023
2015-06-10;MXN;17.4289
2015-06-13;GBP;0.7245
2015-06-14;GBP;0.7245
2015-06-16;AUD;1.4482
2015-06-20;SEK;9.2177
2015-06-23;GBP;0.7101
2015-06-25;GBP;0.7126
2015-07-01;GBP;0.70905
2015-07-04;SEK;9.3726
2015-07-11;USD;1.1185
2015-07-16;USD;1.0867
2015-07-16;AUD;1.4713
2015-07-26;MXN;17.8076
2015-07-29;USD;1.103
2015-08-01;USD;1.0967
2015-08-02;GBP;0.7041
2015-08-06;CAD;1.4333
2015-08-10;GBP;0.7071
2015-08-22;GBP;0.7198
2015-08-26;GBP;0.7314
2015-08-27;SEK;9.5701
2015-08-30;USD;1.1268
2015-09-02;USD;1.1255
2015-09-06;SEK;9.4147
2015-09-07;USD;1.1146
2015-09-08;GBP;0.7244
2015-09-16;GBP;0.72665
2015-09-20;USD;1.1419
2015-09-19;CAD;1.4876
2015-09-23;SEK;9.3798
2015-09-26;AUD;1.5895
2015-10-13;CAD;1.484
2015-10-20;SEK;9.4235
2015-10-27;MXN;18.3502
2015-11-01;CAD;1.4515
2015-11-04;GBP;0.7094
2015-11-11;CAD;1.4213
2015-11-23;SEK;9.2496
2015-11-24;USD;1.0651
2015-11-25;AUD;1.4601
2015-11-29;AUD;1.4689
2015-11-29;SEK;9.242
2015-11-30;MXN;17.5569
2015-12-12;SEK;9.3007
2015-12-15;AUD;1.52
2015-12-18;AUD;1.5206
2015-12-22;MXN;18.7405
2016-01-10;GBP;0.74519
2016-01-19;MXN;19.6912
2016-01-23;AUD;1.538
2016-01-25;USD;1.0815
2016-01-29;MXN;20.0054
2016-01-31;MXN;20.0054
2016-01-30;SEK;9.3483
2016-02-01;SEK;9.2835
2016-02-04;CAD;1.5366
2016-02-10;USD;1.1257
2016-02-11;GBP;0.7874
2016-02-15;GBP;0.772
2016-02-15;MXN;21.091
2016-02-18;SEK;9.4014
2016-02-26;USD;1.1006
2016-02-27;AUD;1.5275
2016-02-27;SEK;9.371
2016-02-28;SEK;9.371
2016-02-29;SEK;9.3219
2016-03-01;USD;1.0872
2016-03-06;MXN;19.5613
2016-03-07;MXN;19.5274
2016-03-14;AUD;1.4755
2016-03-19;CAD;1.4627
2016-03-21;USD;1.1271
2016-04-11;MXN;20.1924
2016-04-19;CAD;1.4418
2016-04-19;GBP;0.78975
2016-04-20;MXN;19.706
2016-04-29;GBP;0.78025
2016-05-05;GBP;0.7886
2016-05-09;GBP;0.78998
2016-05-12;MXN;20.3883
2016-05-18;CAD;1.4637
2016-06-09;AUD;1.525
2016-06-13;CAD;1.439
2016-06-15;GBP;0.79158
2016-06-19;AUD;1.5234
2016-06-22;AUD;1.5033
2016-06-28;AUD;1.4984
2016-07-02;CAD;1.439
2016-07-02;GBP;0.8383
2016-07-02;MXN;20.1814
2016-07-05;AUD;1.4902
2016-07-14;USD;1.1157
2016-07-16;SEK;9.4556
2016-07-19;USD;1.1035
2016-07-22;AUD;1.4717
2016-08-09;MXN;20.5015
2016-08-10;USD;1.1184
2016-08-14;USD;1.1158
2016-08-14;CAD;1.4478
2016-08-19;USD;1.1326
2016-08-19;AUD;1.4877
2016-08-19;GBP;0.86537
2016-08-19;MXN;20.7543
2016-08-22;GBP;0.8624
2016-08-27;USD;1.129
2016-08-28;AUD;1.4771
2016-08-27;CAD;1.4546
2016-08-28;SEK;9.4903
2016-08-29;MXN;20.7643
2016-09-04;MXN;21.0145
2016-09-07;SEK;9.5063
2016-09-08;AUD;1.4632
2016-09-12;USD;1.1226
2016-09-14;SEK;9.5343
2016-09-16;USD;1.1226
2016-09-17;USD;1.1226
2016-09-18;GBP;0.85203
2016-09-19;USD;1.1165
2016-09-19;SEK;9.5688
2016-09-23;USD;1.1214
2016-09-24;USD;1.1214
2016-10-01;CAD;1.469
2016-10-04;USD;1.1161
2016-10-23;MXN;20.3075
2016-11-03;AUD;1.4434
2016-11-07;SEK;9.9833
2016-11-23;USD;1.0602
2016-12-10;USD;1.0559
2016-12-15;GBP;0.83598
2016-12-30;CAD;1.4188
2017-01-02;AUD;1.4574
2017-01-07;USD;1.0589
2017-01-08;MXN;22.529
2017-01-26;USD;1.07
2017-01-26;MXN;22.476
2017-01-27;CAD;1.4012
2017-02-05;AUD;1.4057
2017-02-06;GBP;0.8595
2017-02-09;USD;1.0692
2017-02-26;AUD;1.3816
2017-03-05;GBP;0.86355
2017-03-03;SEK;9.5375
2017-03-20;MXN;20.5514
2017-03-23;AUD;1.4132
2017-03-23;SEK;9.5095
2017-03-26;AUD;1.4182
2017-04-02;GBP;0.85553
2017-04-08;SEK;9.5963
2017-04-10;MXN;19.7586
2017-04-27;CAD;1.4783
2017-04-29;MXN;20.75
2017-05-06;SEK;9.6865
2017-05-07;SEK;9.6865
2017-05-08;GBP;0.84465
2017-05-19;AUD;1.5031
1999-01-04;SEK;9.4696
1999-01-05;AUD;1.8944
1999-01-13;CAD;1.8123
1999-01-16;MXN;12.8495
1999-01-17;SEK;9.157
1999-01-22;SEK;9.011
1999-02-02;MXN;11.4046
1999-02-03;GBP;0.6925
1999-02-03;SEK;8.915
1999-02-07;CAD;1.6765
1999-02-06;GBP;0.6885
1999-02-15;CAD;1.6781
1999-02-17;USD;1.1253
1999-03-05;AUD;1.7329
1999-03-11;GBP;0.6694
1999-03-12;CAD;1.6658
1999-03-12;GBP;0.6686
1999-03-19;MXN;10.5352
1999-03-24;MXN;10.5962
1999-03-30;AUD;1.7003
1999-04-05;AUD;1.6956
1999-04-10;SEK;8.944
1999-04-15;MXN;10.2948
1999-04-20;AUD;1.6374
1999-05-16;AUD;1.6051
1999-05-24;CAD;1.5458
1999-06-01;USD;1.0434
1999-06-06;AUD;1.5837
1999-06-11;MXN;10.0331
1999-06-15;MXN;9.8734
1999-06-20;GBP;0.6506
1999-06-18;MXN;9.7081
1999-06-22;GBP;0.6498
1999-06-26;MXN;9.8988
1999-07-03;SEK;8.7005
1999-07-08;USD;1.0182
1999-07-08;MXN;9.501
1999-07-14;MXN;9.7391
1999-07-16;GBP;0.6509
1999-07-18;SEK;8.737
1999-07-20;GBP;0.6618
1999-08-01;MXN;10.0757
1999-07-30;SEK;8.7735
1999-08-04;CAD;1.6114
1999-08-04;MXN;10.1487
1999-08-12;CAD;1.5816
1999-08-18;AUD;1.6351
1999-08-23;AUD;1.6639
1999-08-25;CAD;1.5576
1999-08-29;AUD;1.6488
1999-08-30;USD;1.0454
1999-09-03;AUD;1.6556
1999-09-03;SEK;8.7165
1999-09-07;GBP;0.6576
1999-09-07;SEK;8.63
1999-09-10;MXN;9.8388
1999-09-14;GBP;0.6468
1999-09-19;GBP;0.6423
1999-09-20;GBP;0.641
1999-09-21;USD;1.0388
1999-09-23;AUD;1.6124
1999-09-24;GBP;0.6374
1999-09-26;GBP;0.6374
1999-09-26;SEK;8.6215
1999-09-27;CAD;1.5297
1999-09-29;CAD;1.5444
1999-10-03;MXN;10.0508
1999-10-04;MXN;10.0508
1999-10-05;MXN;10.158
1999-10-08;USD;1.0657
1999-10-08;GBP;0.6451
1999-10-13;GBP;0.6518
1999-10-16;USD;1.0869
1999-10-22;USD;1.0758
1999-10-22;AUD;1.6522
1999-10-26;CAD;1.5626
1999-10-27;MXN;10.1897
1999-11-07;AUD;1.6359
1999-11-08;GBP;0.6412
1999-11-09;AUD;1.6372
1999-11-17;CAD;1.5238
1999-11-21;SEK;8.602
1999-11-27;AUD;1.5855
1999-12-04;USD;1.0015
1999-12-04;CAD;1.4823
1999-12-06;CAD;1.5078
1999-12-08;GBP;0.6294
1999-12-09;SEK;8.57
1999-12-13;CAD;1.4966
1999-12-14;CAD;1.4866
1999-12-16;GBP;0.6286
1999-12-18;MXN;9.4984
1999-12-20;CAD;1.4944
1999-12-30;CAD;1.4608
2000-01-01;AUD;
2000-01-04;GBP;0.6296
2000-01-21;CAD;1.4607
2000-01-27;CAD;1.4331
2000-01-29;AUD;1.5178
2000-01-31;GBP;0.6047
2000-02-04;AUD;1.557
2000-02-05;SEK;8.4715
2000-02-08;USD;0.9903
2000-02-08;MXN;9.3256
2000-02-11;MXN;9.2379
2000-02-15;SEK;8.494
2000-02-17;MXN;9.3101
2000-02-18;CAD;1.4288
2000-02-22;CAD;1.4586
2000-03-03;CAD;1.4051
2000-03-05;SEK;8.47
2000-03-06;USD;0.964
2000-03-11;CAD;1.3981
2000-03-14;AUD;1.5631
2000-03-14;CAD;1.4054
2000-03-23;USD;0.9656
2000-03-31;CAD;1.3879
2000-04-05;SEK;8.329
2000-04-08;GBP;0.6047
2000-04-13;GBP;0.5999
2000-04-18;GBP;0.6003
2000-04-18;SEK;8.297
2000-04-19;SEK;8.263
2000-04-30;MXN;8.5382
2000-05-01;SEK;
2000-05-19;SEK;8.1585
2000-05-31;SEK;8.3845
2000-06-04;AUD;1.6295
2000-06-08;USD;0.9668
2000-06-09;GBP;0.631
2000-06-21;AUD;1.5783
2000-07-09;AUD;1.613
2000-07-08;GBP;0.6278
2000-07-11;GBP;0.63
2000-07-22;CAD;1.3783
2000-08-06;USD;0.9031
2000-08-08;GBP;0.5996
2000-08-11;MXN;8.5178
2000-08-15;AUD;1.5607
2000-08-22;SEK;8.383
2000-09-10;CAD;1.2884
2000-09-11;SEK;8.378
2000-09-17;AUD;1.566
2000-09-23;GBP;0.6063
2000-10-11;MXN;8.2827
2000-10-16;AUD;1.6194
2000-10-16;MXN;8.129
2000-10-20;SEK;8.535
2000-11-14;USD;0.8583
2000-11-16;CAD;1.3297
2000-11-17;AUD;1.6402
2000-11-21;GBP;0.5968
2000-11-24;MXN;7.921
2000-12-07;MXN;8.44
2000-12-18;CAD;1.3681
2000-12-27;AUD;1.6741
2000-12-29;GBP;0.6241
2001-01-03;AUD;1.6915
2001-01-04;MXN;9.1686
2001-01-11;MXN;9.4065
2001-01-13;SEK;8.857
2001-01-18;GBP;0.6385
2001-01-20;USD;0.94
2001-01-20;SEK;8.887
2001-01-22;CAD;1.4023
2001-02-02;SEK;8.914
2001-02-07;CAD;1.4092
2001-02-09;AUD;1.717
2001-02-09;MXN;8.9354
2001-02-18;SEK;8.9615
2001-02-22;SEK;9.0528
2001-03-01;AUD;1.7554
2001-03-09;MXN;9.0642
2001-03-20;USD;0.902
2001-03-20;AUD;1.8097
2001-03-22;CAD;1.3975
2001-03-23;AUD;1.8117
2001-03-28;USD;0.886
2001-04-01;USD;0.8832
2001-04-13;MXN;
2001-04-28;CAD;1.3929
2001-05-01;USD;
2001-05-01;AUD;
2001-05-11;CAD;1.3529
2001-05-20;AUD;1.6687
2001-05-22;SEK;8.9725
2001-05-26;AUD;1.6485
2001-05-27;GBP;0.6045
2001-06-02;AUD;1.666
2001-06-05;CAD;1.3005
2001-06-07;AUD;1.6375
2001-06-09;CAD;1.2864
2001-06-20;AUD;1.644
2001-06-22;AUD;1.651
2001-06-29;MXN;7.6969
2001-07-02;AUD;1.6612
2001-07-02;MXN;7.6238
2001-07-13;AUD;1.6821
2001-07-22;AUD;1.7111
2001-08-23;SEK;9.424
2001-09-01;GBP;0.6285
2001-09-05;MXN;8.192
2001-09-10;SEK;9.5406
2001-09-13;SEK;9.5832
2001-09-20;AUD;1.8748
2001-09-21;GBP;0.6301
2001-09-24;USD;0.9164
2001-10-01;AUD;1.8536
2001-10-06;CAD;1.4382
2001-10-24;USD;0.8917
2001-10-27;CAD;1.4027
2001-10-29;AUD;1.7833
2001-10-30;AUD;1.7816
2001-10-30;CAD;1.4281
2001-11-03;USD;0.9056
2001-11-11;AUD;1.7347
2001-11-16;GBP;0.6175
2001-11-18;MXN;8.1587
2001-11-19;SEK;9.3665
2001-11-22;GBP;0.6211
2001-11-23;GBP;0.6219
2001-11-23;SEK;9.3611
2001-12-05;SEK;9.4457
2001-12-07;SEK;9.3573
2001-12-12;CAD;1.4005
2001-12-13;GBP;0.6209
2001-12-14;SEK;9.4642
2001-12-18;GBP;0.6189
2001-12-22;GBP;0.6176
2001-12-26;AUD;
2002-01-17;USD;0.8819
2002-01-19;GBP;0.6141
2002-01-21;GBP;0.6156
2002-01-21;SEK;9.2175
2002-01-25;AUD;1.6805
2002-02-01;USD;0.8632
2002-02-02;USD;0.8632
2002-02-04;GBP;0.6097
2002-02-06;AUD;1.7067
2002-02-11;USD;0.8794
2002-02-14;AUD;1.6864
2002-02-15;MXN;7.9003
2002-02-27;CAD;1.3896
2002-03-09;CAD;1.3946
2002-03-08;MXN;7.982
2002-03-10;SEK;9.0675
2002-03-11;SEK;9.084
2019-04-28;USD;1.1133
2019-05-03;AUD;1.5943
2019-05-03;GBP;0.85785
2019-05-09;CAD;1.5093
2019-05-11;GBP;0.8625
2019-05-17;CAD;1.5074
2019-05-20;AUD;1.6141
2019-05-26;GBP;0.88318
2019-06-02;MXN;21.8922
2019-06-11;SEK;10.6828
2019-06-12;USD;1.1323
2019-06-14;GBP;0.89093
2019-06-19;MXN;21.4542
2019-06-21;USD;1.1316
2019-06-23;MXN;21.5698
2019-06-25;MXN;21.9042
2019-07-02;MXN;21.5491
2019-07-07;GBP;0.89703
2019-07-09;AUD;1.6164
2019-07-10;AUD;1.621
2019-07-11;USD;1.1285
2019-07-14;CAD;1.4667
2019-07-16;AUD;1.5955
2019-07-28;CAD;1.468
2019-08-01;AUD;1.6135
2019-08-04;MXN;21.4542
2019-08-09;USD;1.1198
2019-08-09;SEK;10.6972
2019-08-12;CAD;1.4807
2019-08-15;GBP;0.91863
2019-08-22;AUD;1.638
2019-08-28;USD;1.1083
2019-08-30;AUD;1.6398
2019-09-01;AUD;1.6398
2019-09-05;SEK;10.6825
2019-09-16;CAD;1.4619
2019-09-21;SEK;10.7113
2019-09-22;SEK;10.7113
2019-10-03;GBP;0.8879
2019-10-04;USD;1.0979
2019-10-15;SEK;10.8225
2019-10-30;CAD;1.4534
2019-11-01;CAD;1.4682
2019-11-06;GBP;0.86033
2019-11-10;AUD;1.6065
2019-11-12;USD;1.1015
2019-11-24;SEK;10.6265
2019-11-27;GBP;0.8545
2019-12-10;USD;1.1077
2019-12-13;MXN;21.2518
2019-12-15;MXN;21.2518
2019-12-21;USD;1.1097
2020-01-03;SEK;10.4858
2020-01-09;AUD;1.6193
2020-01-12;GBP;0.8481
2020-01-16;CAD;1.4559
2020-01-22;GBP;0.84445
2020-01-23;GBP;0.84498
2020-01-25;USD;1.1035
2020-01-31;AUD;1.6494
2020-02-02;MXN;20.8044
2020-02-07;USD;1.0969
2020-02-11;CAD;1.4495
2020-02-11;GBP;0.84325
2020-02-16;MXN;20.1606
2020-02-20;MXN;20.1685
2020-02-21;SEK;10.569
2020-02-24;MXN;20.7234
2020-02-27;SEK;10.5753
2020-03-05;SEK;10.5915
2020-03-07;AUD;1.7103
2020-03-07;SEK;10.6145
2020-03-09;AUD;1.733
2020-03-16;MXN;25.4478
2020-03-17;SEK;10.9593
2020-03-24;MXN;26.9302
2020-03-25;MXN;26.5704
2020-03-26;USD;1.0981
2020-03-28;GBP;0.89743
2020-04-01;AUD;1.8053
2020-04-16;USD;1.0888
2020-04-16;AUD;1.7266
2020-04-20;MXN;26.1086
2020-04-28;GBP;0.87078
2020-05-08;USD;1.0843
2020-05-12;SEK;10.5968
2020-05-17;SEK;10.6695
2020-05-21;CAD;1.531
2020-05-22;SEK;10.5373
2020-05-27;AUD;1.6565
2020-05-31;AUD;1.6681
2020-05-29;CAD;1.528
2020-06-03;AUD;1.628
2020-06-05;MXN;24.6466
2020-06-09;MXN;24.5766
2020-06-16;CAD;1.532
2020-06-22;AUD;1.6292
2020-06-23;SEK;10.5175
2020-06-27;GBP;0.90575
2020-07-07;MXN;25.4764
2020-07-08;CAD;1.5338
2020-07-13;USD;1.1329
2020-07-15;USD;1.1444
2020-07-15;GBP;0.9054
2020-07-26;AUD;1.6376
2020-07-27;USD;1.176
2020-08-02;SEK;10.2835
2020-08-03;SEK;10.2958
2020-08-07;MXN;26.5127
2020-08-24;CAD;1.5574
2020-09-01;SEK;10.3605
2020-09-05;CAD;1.5508
2020-09-06;CAD;1.5508
2020-09-09;CAD;1.5563
2020-09-11;GBP;0.92408
2020-09-19;AUD;1.6242
2020-09-23;AUD;1.6439
2020-10-03;AUD;1.6372
2020-10-06;GBP;0.91058
2020-10-07;SEK;10.483
2020-10-19;USD;1.1785
2020-10-23;CAD;1.5563
2020-10-26;SEK;10.3475
2020-11-02;MXN;24.7327
2020-11-15;AUD;1.63
2020-11-26;CAD;1.5472
2020-12-05;GBP;0.90282
2020-12-07;SEK;10.2018
2020-12-08;CAD;1.5508
2020-12-13;USD;1.2127
2020-12-13;MXN;24.4157
2020-12-20;USD;1.2259
2020-12-30;USD;1.2281
2021-01-09;USD;1.225
2021-01-11;CAD;1.5551
2021-01-11;MXN;24.5301
2021-01-15;USD;1.2123
2021-01-19;AUD;1.5723
2021-01-20;CAD;1.5379
2021-01-20;SEK;10.1383
2021-01-26;GBP;0.88698
2021-01-27;GBP;0.88395
2021-01-31;SEK;10.111
2021-02-06;SEK;10.1228
2021-02-09;CAD;1.5414
2021-02-11;USD;1.2147
2021-02-11;CAD;1.5384
2021-02-14;MXN;24.2515
2021-02-15;USD;1.2129
2021-02-28;CAD;1.5331
2021-03-07;AUD;1.5565
2021-03-09;SEK;10.136
2021-03-14;USD;1.1933
2021-03-12;CAD;1.4975
2021-03-29;CAD;1.4833
2021-03-30;GBP;0.85378
2021-04-07;GBP;0.86065
2021-04-22;CAD;1.5067
2021-04-25;SEK;10.1405
2021-04-26;MXN;23.9814
2021-04-27;CAD;1.4985
2021-04-29;GBP;0.8691
2021-05-02;GBP;0.86863
2021-05-06;SEK;10.194
2021-05-11;AUD;1.5509
2021-05-12;MXN;24.1783
2021-05-16;SEK;10.1265
2021-05-21;CAD;1.468
2021-05-29;GBP;0.85765
2021-06-02;MXN;24.3207
2021-06-05;MXN;24.4415
2021-06-09;AUD;1.5731
2021-06-11;SEK;10.0643
2021-06-23;AUD;1.5762
2021-06-23;CAD;1.4667
2021-06-25;CAD;1.4696
2021-07-11;AUD;1.5868
2021-07-13;CAD;1.4782
2021-07-21;SEK;10.2448
2021-07-23;SEK;10.2105
2021-08-05;CAD;1.4817
2021-08-08;CAD;1.4763
2021-08-09;USD;1.1761
2021-08-09;CAD;1.4747
2021-08-16;CAD;1.4782
2021-08-18;USD;1.1723
2021-08-18;MXN;23.4178
2021-09-05;SEK;10.1708
2021-09-14;CAD;1.4951
2021-09-19;SEK;10.1553
2021-09-22;GBP;0.86
2021-09-22;SEK;10.1758
2021-09-25;CAD;1.4895
2021-10-03;USD;1.16
2021-10-05;CAD;1.4612
2021-10-09;SEK;10.1138
2021-10-16;AUD;1.564
2021-10-27;GBP;0.8453
2021-10-28;CAD;1.4325
2021-10-29;AUD;1.5455
2021-11-01;USD;1.1578
2021-11-02;USD;1.1603
2021-11-13;GBP;0.85505
2021-11-14;MXN;23.6472
2021-11-15;AUD;1.5537
2021-11-18;CAD;1.4295
2021-11-21;MXN;23.4637
2021-11-25;SEK;10.176
2021-11-27;CAD;1.4397
2021-11-28;MXN;24.4974
2021-12-01;MXN;24.0869
2021-12-07;MXN;23.8972
2021-12-11;CAD;1.434
2021-12-13;AUD;1.5795
2021-12-23;GBP;0.84228
2022-01-02;CAD;1.4393
2022-01-06;MXN;23.2549
2022-01-08;GBP;0.8343
2022-01-15;CAD;1.433
2017-05-19;CAD;1.5169
2017-05-22;USD;1.1243
2017-05-23;USD;1.1215
2017-05-29;AUD;1.5045
2017-06-06;CAD;1.517
2017-06-09;USD;1.1176
2017-06-10;MXN;20.3526
2017-06-13;SEK;9.7443
2017-06-22;USD;1.1169
2017-06-22;SEK;9.7683
2017-06-25;GBP;0.87805
2017-06-23;SEK;9.77
2017-06-27;MXN;20.1288
2017-07-15;SEK;9.5333
2017-07-20;MXN;20.2035
2017-07-24;GBP;0.8935
2017-07-25;GBP;0.89395
2017-07-27;AUD;1.4617
2017-07-27;CAD;1.4603
2017-08-04;AUD;1.4888
2017-08-08;SEK;9.598
2017-08-12;SEK;9.6083
2017-08-15;CAD;1.496
2017-08-22;MXN;20.7907
2017-08-30;USD;1.1916
2017-09-03;CAD;1.483
2017-09-04;CAD;1.4774
2017-09-07;USD;1.1971
2017-09-17;USD;1.1963
2017-09-16;GBP;0.88043
2017-09-27;SEK;9.5885
2017-10-02;GBP;0.88418
2017-10-06;MXN;21.655
2017-10-16;AUD;1.4996
2017-10-18;SEK;9.5945
2017-10-20;USD;1.1818
2017-10-29;AUD;1.5196
2017-10-30;SEK;9.709
2017-10-31;MXN;22.2962
2017-10-31;SEK;9.7415
2017-11-01;CAD;1.4986
2017-11-05;USD;1.1657
2017-11-03;GBP;0.88923
2017-11-08;USD;1.159
2017-11-08;MXN;22.1015
2017-11-13;CAD;1.4809
2017-11-26;USD;1.1877
2017-11-26;CAD;1.5093
2017-11-26;GBP;0.8912
2017-11-27;USD;1.1952
2017-12-06;AUD;1.5565
2017-12-12;MXN;22.4566
2017-12-14;AUD;1.5452
2017-12-15;CAD;1.507
2017-12-16;CAD;1.507
2017-12-16;MXN;22.6281
2017-12-30;MXN;23.6612
2018-01-06;USD;1.2045
2018-01-09;MXN;22.9311
2018-01-09;SEK;9.8288
2018-01-18;MXN;22.8174
2018-02-06;AUD;1.5728
2018-02-09;CAD;1.5475
2018-02-17;USD;1.2464
2018-02-16;GBP;0.88803
2018-02-27;SEK;10.08
2018-03-02;MXN;23.3041
2018-03-08;SEK;10.2173
2018-03-15;GBP;0.8848
2018-03-17;MXN;23.0385
2018-03-18;MXN;23.0385
2018-03-19;GBP;0.87593
2018-03-25;AUD;1.5978
2018-04-12;MXN;22.3815
2018-04-15;AUD;1.5801
2018-04-15;MXN;22.3162
2018-04-27;CAD;1.5549
2018-04-29;GBP;0.877
2018-05-04;AUD;1.5915
2018-05-06;AUD;1.5915
2018-05-04;CAD;1.541
2018-05-08;AUD;1.5929
2018-05-11;AUD;1.5801
2018-05-13;SEK;10.2635
2018-05-16;AUD;1.5741
2018-05-20;AUD;1.5673
2018-05-23;MXN;23.355
2018-06-02;GBP;0.8768
2018-06-06;CAD;1.515
2018-06-13;AUD;1.5506
2018-06-19;GBP;0.87693
2018-06-26;USD;1.1672
2018-07-02;MXN;23.332
2018-07-04;CAD;1.5306
2018-07-05;GBP;0.8831
2018-07-11;SEK;10.2745
2018-07-12;GBP;0.88263
2018-07-22;CAD;1.5443
2018-07-21;SEK;10.3908
2018-07-23;AUD;1.5821
2018-07-23;MXN;22.3736
2018-08-13;AUD;1.567
2018-08-19;SEK;10.4935
2018-08-30;MXN;22.2356
2018-08-31;AUD;1.6129
2018-08-31;SEK;10.6205
2018-09-14;SEK;10.546
2018-09-15;SEK;10.546
2018-09-26;SEK;10.3763
2018-09-28;AUD;1.6048
2018-09-30;SEK;10.309
2018-10-02;CAD;1.4795
2018-10-07;SEK;10.4438
2018-10-08;AUD;1.6242
2018-10-09;USD;1.1435
2018-10-15;CAD;1.5085
2018-10-21;USD;1.147
2018-10-19;SEK;10.3358
2018-10-22;GBP;0.88425
2018-10-28;AUD;1.6142
2018-11-03;USD;1.1417
2018-11-04;GBP;0.8787
2018-11-05;USD;1.137
2018-11-19;CAD;1.5055
2018-11-24;GBP;0.8848
2018-11-29;USD;1.1387
2018-12-01;MXN;23.091
2018-12-15;MXN;23.0211
2018-12-20;AUD;1.605
2018-12-27;GBP;0.90073
2018-12-28;SEK;10.2773
2019-01-05;MXN;22.308
2019-01-14;MXN;21.983
2019-01-26;MXN;21.4546
2019-01-30;AUD;1.5885
2019-01-30;MXN;21.8249
2019-02-06;MXN;21.7622
2019-02-12;AUD;1.5926
2019-02-14;GBP;0.87945
2019-02-14;SEK;10.4775
2019-03-02;AUD;1.6
2019-03-09;USD;1.1222
2019-03-19;GBP;0.85548
2012-09-14;CAD;1.2628
2012-09-18;USD;1.3054
2012-09-21;CAD;1.2654
2012-09-24;SEK;8.4928
2012-09-27;USD;1.2874
2012-09-30;SEK;8.4498
2012-10-01;USD;1.2877
2012-10-01;MXN;16.5824
2012-10-02;MXN;16.5813
2012-10-08;SEK;8.6057
2012-10-10;GBP;0.80495
2012-10-11;AUD;1.2573
2012-10-15;AUD;1.2661
2012-10-22;CAD;1.2987
2012-10-28;CAD;1.2865
2012-10-29;GBP;0.80455
2012-11-04;CAD;1.2783
2012-11-02;SEK;8.5955
2012-11-05;CAD;1.2732
2012-11-10;USD;1.2694
2012-11-09;SEK;8.5745
2012-11-18;SEK;8.6493
2012-11-30;AUD;1.2474
2012-12-31;USD;1.3194
2013-01-03;USD;1.3102
2013-01-03;GBP;0.81075
2013-01-05;AUD;1.2494
2013-01-05;SEK;8.531
2013-01-12;SEK;8.6248
2013-01-13;SEK;8.6248
2013-01-15;AUD;1.2653
2013-01-17;AUD;1.2694
2013-01-23;MXN;16.8538
2013-01-25;CAD;1.3553
2013-02-06;MXN;17.1056
2013-02-07;CAD;1.3488
2013-02-26;AUD;1.2763
2013-03-02;SEK;8.366
2013-03-05;USD;1.3034
2013-03-06;USD;1.3035
2013-03-09;SEK;8.3239
2013-03-10;SEK;8.3239
2013-03-17;USD;1.3086
2013-03-15;CAD;1.3352
2013-03-16;SEK;8.3515
2013-03-23;CAD;1.3259
2013-03-25;SEK;8.4361
2013-03-26;MXN;15.8408
2013-04-06;GBP;0.8491
2013-04-05;MXN;15.962
2013-04-06;SEK;8.3984
2013-04-07;SEK;8.3984
2013-04-11;MXN;15.8661
2013-04-12;GBP;0.8497
2013-04-28;CAD;1.3256
2013-05-04;CAD;1.3263
2013-05-03;GBP;0.8431
2013-05-15;USD;1.2864
2013-05-15;CAD;1.3133
2013-05-17;CAD;1.322
2013-05-17;MXN;15.8403
2013-05-21;MXN;15.8388
2013-05-26;USD;1.2939
2013-05-27;USD;1.2939
2022-01-17;AUD;1.5811
2022-01-20;AUD;1.5662
2022-01-25;GBP;0.83713
2022-02-08;CAD;1.4505
2022-02-10;USD;1.1439
2022-02-10;CAD;1.4498
2022-02-13;MXN;23.3183
2022-02-18;USD;1.1354
2022-02-23;USD;1.1344
2022-02-26;GBP;0.8374
2022-03-07;USD;1.0895
2022-03-09;GBP;0.8357
2022-03-10;GBP;0.84175
2022-03-10;SEK;10.7073
2022-03-14;SEK;10.5368
2022-03-16;CAD;1.3967
2022-03-17;CAD;1.3998
2022-03-17;SEK;10.4503
2022-03-20;MXN;22.5905
2022-03-23;AUD;1.4728
2022-04-07;CAD;1.3704
2022-04-08;GBP;0.83355
2022-04-24;GBP;0.83925
2022-05-02;GBP;0.8381
2022-05-09;AUD;1.5048
